# Gaussian hill terrain for integration scenario
# Height: 150 m, sigma: 400 m
# Format: x_m, y_m, elevation_m, slope_x, slope_y
330000.0,3775000.0,10.0,0.0,0.0
330500.0,3775000.0,25.0,0.05,0.0
331000.0,3775000.0,85.0,0.15,0.0
331500.0,3775000.0,110.0,0.08,0.0
332000.0,3775000.0,80.0,-0.10,0.0
330000.0,3775500.0,15.0,0.0,0.03
330500.0,3775500.0,35.0,0.06,0.04
331000.0,3775500.0,95.0,0.18,0.05
331500.0,3775500.0,120.0,0.10,0.03
332000.0,3775500.0,85.0,-0.12,0.0
330000.0,3776000.0,25.0,0.0,0.05
330500.0,3776000.0,50.0,0.08,0.06
331000.0,3776000.0,125.0,0.20,0.08
331500.0,3776000.0,145.0,0.12,0.06
332000.0,3776000.0,95.0,-0.15,0.02
330000.0,3776500.0,20.0,0.0,0.02
330500.0,3776500.0,40.0,0.05,0.03
331000.0,3776500.0,105.0,0.16,0.04
331500.0,3776500.0,125.0,0.08,0.02
332000.0,3776500.0,88.0,-0.11,0.0
330000.0,3777000.0,12.0,0.0,0.0
330500.0,3777000.0,28.0,0.04,0.0
331000.0,3777000.0,90.0,0.14,0.0
331500.0,3777000.0,115.0,0.07,0.0
332000.0,3777000.0,82.0,-0.09,0.0
