# Simple upslope terrain (30° slope in +x direction)
# Format: x_m, y_m, elevation_m, slope_x, slope_y
# slope = tan(30°) ≈ 0.577 in x-direction
330000.0,3775000.0,0.0,0.577,0.0
330250.0,3775000.0,144.3,0.577,0.0
330500.0,3775000.0,288.5,0.577,0.0
330750.0,3775000.0,432.8,0.577,0.0
331000.0,3775000.0,577.0,0.577,0.0
330000.0,3775250.0,0.0,0.577,0.0
330250.0,3775250.0,144.3,0.577,0.0
330500.0,3775250.0,288.5,0.577,0.0
330750.0,3775250.0,432.8,0.577,0.0
331000.0,3775250.0,577.0,0.577,0.0
330000.0,3775500.0,0.0,0.577,0.0
330250.0,3775500.0,144.3,0.577,0.0
330500.0,3775500.0,288.5,0.577,0.0
330750.0,3775500.0,432.8,0.577,0.0
331000.0,3775500.0,577.0,0.577,0.0
330000.0,3775750.0,0.0,0.577,0.0
330250.0,3775750.0,144.3,0.577,0.0
330500.0,3775750.0,288.5,0.577,0.0
330750.0,3775750.0,432.8,0.577,0.0
331000.0,3775750.0,577.0,0.577,0.0
330000.0,3776000.0,0.0,0.577,0.0
330250.0,3776000.0,144.3,0.577,0.0
330500.0,3776000.0,288.5,0.577,0.0
330750.0,3776000.0,432.8,0.577,0.0
331000.0,3776000.0,577.0,0.577,0.0
