x,y,z_terrain,z_physical,z_agl,u,v,w,speed
1.500000e+01,1.500000e+01,4.974861e-01,1.549749e+01,1.500000e+01,1.087140e+01,0.000000e+00,0.000000e+00,1.087140e+01
4.500000e+01,1.500000e+01,1.002034e+00,1.600203e+01,1.500000e+01,1.087140e+01,0.000000e+00,0.000000e+00,1.087140e+01
7.500000e+01,1.500000e+01,1.998629e+00,1.699863e+01,1.500000e+01,1.087140e+01,0.000000e+00,0.000000e+00,1.087140e+01
1.050000e+02,1.500000e+01,3.165699e+00,1.816570e+01,1.500000e+01,1.087140e+01,0.000000e+00,0.000000e+00,1.087140e+01
1.350000e+02,1.500000e+01,3.983682e+00,1.898368e+01,1.500000e+01,1.087140e+01,0.000000e+00,0.000000e+00,1.087140e+01
1.650000e+02,1.500000e+01,3.983682e+00,1.898368e+01,1.500000e+01,1.087140e+01,0.000000e+00,0.000000e+00,1.087140e+01
1.950000e+02,1.500000e+01,3.165699e+00,1.816570e+01,1.500000e+01,1.087140e+01,0.000000e+00,0.000000e+00,1.087140e+01
2.250000e+02,1.500000e+01,1.998629e+00,1.699863e+01,1.500000e+01,1.087140e+01,0.000000e+00,0.000000e+00,1.087140e+01
2.550000e+02,1.500000e+01,1.002034e+00,1.600203e+01,1.500000e+01,1.087140e+01,0.000000e+00,0.000000e+00,1.087140e+01
2.850000e+02,1.500000e+01,4.974861e-01,1.549749e+01,1.500000e+01,1.087140e+01,0.000000e+00,0.000000e+00,1.087140e+01
1.500000e+01,4.500000e+01,9.549815e-01,1.595498e+01,1.500000e+01,1.087140e+01,0.000000e+00,0.000000e+00,1.087140e+01
4.500000e+01,4.500000e+01,2.450350e+00,1.745035e+01,1.500000e+01,1.087140e+01,0.000000e+00,0.000000e+00,1.087140e+01
7.500000e+01,4.500000e+01,4.960403e+00,1.996040e+01,1.500000e+01,1.087140e+01,0.000000e+00,0.000000e+00,1.087140e+01
1.050000e+02,4.500000e+01,7.932035e+00,2.293204e+01,1.500000e+01,1.087140e+01,0.000000e+00,0.000000e+00,1.087140e+01
